layer,series_name,proposer_type,budget,selected_model_at_k,best_rolling_score_after_k,post_selection_test_mae,budget_to_top_epsilon_full_candidate_set,candidate_diversity,invalid_or_rejected_proposals,valid_proposal_rate,duplicate_rate,out_of_allowlist_rejection_rate,claim_safety_violation_rate,top_epsilon_hit,evidence_mode,selection_metric_source,test_metric_usage
frozen_replay,18-49 yr,oracle_full_candidate_ranking,20,arima_auto_small,0.0304497354497354,0.009090909090909,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,mock_api_proposer,3,constrained_structure_discovery,0.1748237283686136,0.1218656648080898,3,3,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,mock_api_proposer,5,constrained_structure_discovery,0.1748237283686136,0.1218656648080898,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,mock_api_proposer,10,validation_only_structure_selection,0.1576655714557095,0.1222593384926004,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,mock_api_proposer,20,validation_only_structure_selection,0.1576655714557095,0.1222593384926004,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,deterministic_seed_proposer,3,arima_auto_small,0.2118518518518518,0.3272727272727272,10,1,0,1.0,0.0,0.0,0.0,False,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,deterministic_seed_proposer,5,arima_auto_small,0.2118518518518518,0.3272727272727272,10,2,0,1.0,0.0,0.0,0.0,False,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,deterministic_seed_proposer,10,validation_only_structure_selection,0.1576655714557095,0.1222593384926004,10,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,deterministic_seed_proposer,20,validation_only_structure_selection,0.1576655714557095,0.1222593384926004,10,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,random_candidate_proposer,3,constrained_structure_discovery,0.1748237283686136,0.1218656648080898,3,2,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,random_candidate_proposer,5,constrained_structure_discovery,0.1748237283686136,0.1218656648080898,3,3,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,random_candidate_proposer,10,validation_only_structure_selection,0.1576655714557095,0.1222593384926004,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,random_candidate_proposer,20,validation_only_structure_selection,0.1576655714557095,0.1222593384926004,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,oracle_full_candidate_ranking,3,validation_only_structure_selection,0.1576655714557095,0.1222593384926004,3,2,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,oracle_full_candidate_ranking,5,validation_only_structure_selection,0.1576655714557095,0.1222593384926004,3,3,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,oracle_full_candidate_ranking,10,validation_only_structure_selection,0.1576655714557095,0.1222593384926004,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay,>=65 yr,oracle_full_candidate_ranking,20,validation_only_structure_selection,0.1576655714557095,0.1222593384926004,3,4,0,1.0,0.0,0.0,0.0,True,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
