layer,series_name,proposer_type,repeat_idx,budget,selected_model_at_k,rolling_score_at_k,post_selection_test_mae,top_epsilon_hit,budget_to_top_epsilon,valid_proposal_rate,duplicate_rate,out_of_allowlist_rejection_rate,claim_safety_violation_rate,family_diversity,observation_label_diversity,api_status,evidence_mode,selection_metric_source,test_metric_usage
frozen_replay_repeated,18-49 yr,deterministic_seed_proposer,0,5,arima_auto_small,0.0304497354497354,0.009090909090909,True,3,1.0,0.0,0.0,0.0,2,1,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,deterministic_seed_proposer,0,10,arima_auto_small,0.0304497354497354,0.009090909090909,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,0,3,last_observed,0.0304497354497354,0.009090909090909,True,3,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,0,5,last_observed,0.0304497354497354,0.009090909090909,True,3,1.0,0.0,0.0,0.0,4,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,0,10,arima_auto_small,0.0304497354497354,0.009090909090909,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,1,3,rolling_mean_4wk,0.0533928571428571,0.05,False,5,1.0,0.0,0.0,0.0,2,1,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,1,5,arima_auto_small,0.0304497354497354,0.009090909090909,True,5,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,1,10,arima_auto_small,0.0304497354497354,0.009090909090909,True,5,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,2,3,last_observed,0.0304497354497354,0.009090909090909,True,3,1.0,0.0,0.0,0.0,2,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,2,5,last_observed,0.0304497354497354,0.009090909090909,True,3,1.0,0.0,0.0,0.0,2,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,2,10,arima_auto_small,0.0304497354497354,0.009090909090909,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,3,3,last_observed,0.0304497354497354,0.009090909090909,True,3,1.0,0.0,0.0,0.0,2,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,3,5,last_observed,0.0304497354497354,0.009090909090909,True,3,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,3,10,arima_auto_small,0.0304497354497354,0.009090909090909,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,4,3,validation_only_structure_selection,0.0391850575863337,0.0152322375910909,True,3,1.0,0.0,0.0,0.0,2,1,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,18-49 yr,random_candidate_proposer,4,5,last_observed,0.0304497354497354,0.009090909090909,True,3,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
