series_name,reference_model,challenger_model,n_aligned,mean_abs_error_reference,mean_abs_error_challenger,mean_diff_challenger_minus_reference,ci95_low,ci95_high,reference_win_rate
18-49 yr,constrained_structure_discovery,lagged_gradient_boosting,59,0.07923131049236921,0.05296610169491523,-0.02626520879745398,-0.03570834777089484,-0.016162806182612267,0.1864406779661017
18-49 yr,constrained_structure_discovery,lagged_ridge,59,0.07923131049236921,0.05296610169491523,-0.02626520879745398,-0.03569316695102072,-0.016827797114585992,0.1864406779661017
18-49 yr,constrained_structure_discovery,last_observed,59,0.07923131049236921,0.03050847457627119,-0.04872283591609802,-0.06424524290166818,-0.03261562701880489,0.15254237288135594
18-49 yr,constrained_structure_discovery,no_observation_search_discovery,59,0.07923131049236921,0.07923051722857415,-7.93263795062469e-07,-2.317935574541614e-06,5.736756517480737e-07,0.4915254237288136
18-49 yr,constrained_structure_discovery,no_stability_discovery,59,0.07923131049236921,0.07922915988144189,-2.150610927334108e-06,-4.155772689088318e-06,-5.13474571394499e-07,0.3559322033898305
18-49 yr,constrained_structure_discovery,probabilistic_seir,59,0.07923131049236921,0.0813179539962641,0.002086643503894865,0.00015085256819957743,0.004310666968106372,0.3559322033898305
18-49 yr,constrained_structure_discovery,random_structure_discovery,59,0.07923131049236921,0.08033577249129867,0.0011044619989294495,0.0009114608045473395,0.0012850016915602063,0.9491525423728814
18-49 yr,constrained_structure_discovery,rolling_mean_2wk,59,0.07923131049236921,0.036440677966101696,-0.042790632526267525,-0.0547895689353431,-0.03041693846714056,0.1694915254237288
18-49 yr,constrained_structure_discovery,rolling_mean_4wk,59,0.07923131049236921,0.05296610169491523,-0.02626520879745398,-0.035385130566201496,-0.016195058659679268,0.1864406779661017
18-49 yr,constrained_structure_discovery,validation_only_structure_selection,59,0.07923131049236921,0.03990766164957347,-0.03932364884279575,-0.05658472672595141,-0.02099296498531759,0.1864406779661017
5-17 yr,constrained_structure_discovery,arima_auto_small,59,0.05084046413672951,0.03728813559322034,-0.013552328543509164,-0.03323849428819404,0.0046619560720026,0.23728813559322035
5-17 yr,constrained_structure_discovery,delayed_observation_seir,59,0.05084046413672951,0.08086095985443491,0.030020495717705393,0.015754349727052613,0.04400186363401576,0.7966101694915254
5-17 yr,constrained_structure_discovery,deterministic_seir,59,0.05084046413672951,0.08012503370258141,0.029284569565851876,0.015108876555767389,0.04353512118828753,0.7966101694915254
5-17 yr,constrained_structure_discovery,equal_weight_point_ensemble,59,0.05084046413672951,0.04696289331227588,-0.003877570824453628,-0.019571868743785945,0.010863838987772266,0.7796610169491526
5-17 yr,constrained_structure_discovery,exhaustive_structure_discovery,59,0.05084046413672951,0.04423005660764343,-0.006610407529086076,-0.026970129033483888,0.01502150180978087,0.7966101694915254
5-17 yr,constrained_structure_discovery,fractional_seir,59,0.05084046413672951,0.08108370333904845,0.03024323920231895,0.015737928100626093,0.043984163590270534,0.7966101694915254
5-17 yr,constrained_structure_discovery,hospitalized_seihr,59,0.05084046413672951,0.05411268984937504,0.003272225712645538,-0.012394181622034723,0.018122125367813564,0.7627118644067796
5-17 yr,constrained_structure_discovery,lagged_gradient_boosting,59,0.05084046413672951,0.03983050847457625,-0.011009955662153254,-0.029796847151420735,0.006505289044046834,0.3898305084745763
5-17 yr,constrained_structure_discovery,lagged_ridge,59,0.05084046413672951,0.03983050847457625,-0.011009955662153254,-0.029836388323753304,0.006492458911310852,0.3898305084745763
5-17 yr,constrained_structure_discovery,last_observed,59,0.05084046413672951,0.03728813559322034,-0.013552328543509164,-0.032013496572855064,0.004858878602211719,0.23728813559322035
5-17 yr,constrained_structure_discovery,no_observation_search_discovery,59,0.05084046413672951,0.10210456248198319,0.05126409834525368,0.037893438952962585,0.06421756440584998,0.7966101694915254
5-17 yr,constrained_structure_discovery,no_stability_discovery,59,0.05084046413672951,0.03517129464606615,-0.015669169490663364,-0.03212723272955557,-0.0015614267277478048,0.7796610169491526
5-17 yr,constrained_structure_discovery,probabilistic_seir,59,0.05084046413672951,0.042868567095579596,-0.007971897041149908,-0.02486361029372787,0.00913832133121499,0.7288135593220338
5-17 yr,constrained_structure_discovery,random_structure_discovery,59,0.05084046413672951,0.051895445968032,0.001054981831302489,-0.010596025838466003,0.010939706640678039,0.864406779661017
5-17 yr,constrained_structure_discovery,rolling_mean_2wk,59,0.05084046413672951,0.035593220338983045,-0.01524724379774646,-0.03452019899684043,0.001596592882342899,0.288135593220339
5-17 yr,constrained_structure_discovery,rolling_mean_4wk,59,0.05084046413672951,0.03983050847457625,-0.011009955662153254,-0.03004817282538789,0.006588356743320309,0.3898305084745763
5-17 yr,constrained_structure_discovery,validation_only_structure_selection,59,0.05084046413672951,0.048167489881600446,-0.002672974255129065,-0.017763065643930143,0.011537355486252433,0.5932203389830508
50-64 yr,constrained_structure_discovery,arima_auto_small,59,0.054679535066905524,0.06101694915254236,0.006337414085636825,-0.013227856424153741,0.024129451307360716,0.5084745762711864
50-64 yr,constrained_structure_discovery,delayed_observation_seir,59,0.054679535066905524,0.05334122455045807,-0.0013383105164474596,-0.004219929589417325,0.0016518769494005242,0.5254237288135594
50-64 yr,constrained_structure_discovery,deterministic_seir,59,0.054679535066905524,0.05725042667858012,0.0025708916116745878,-0.0037261656286499585,0.012315103825122008,0.5254237288135594
50-64 yr,constrained_structure_discovery,equal_weight_point_ensemble,59,0.054679535066905524,0.06902204337722619,0.014342508310320655,0.0028776412818265662,0.027214868016197213,0.5423728813559322
