series_name,reference_model,challenger_model,n_aligned,mean_abs_error_reference,mean_abs_error_challenger,mean_diff_challenger_minus_reference,ci95_low,ci95_high,reference_win_rate,interpretation
0-4 yr,constrained_structure_discovery,random_structure_discovery,59,0.1006496408841813,0.1011452531833069,0.0004956122991256,-1.383276148548668e-05,0.0014941694567939,0.5084745762711864,uncertain_ci_crosses_zero
5-17 yr,constrained_structure_discovery,deterministic_seir,59,0.0508404641367295,0.0801250337025814,0.0292845695658518,0.0151088765557673,0.0435351211882875,0.7966101694915254,reference_lower_error
5-17 yr,constrained_structure_discovery,delayed_observation_seir,59,0.0508404641367295,0.0808609598544349,0.0300204957177053,0.0157543497270526,0.0440018636340157,0.7966101694915254,reference_lower_error
5-17 yr,constrained_structure_discovery,arima_auto_small,59,0.0508404641367295,0.0372881355932203,-0.0135523285435091,-0.033238494288194,0.0046619560720026,0.2372881355932203,uncertain_ci_crosses_zero
5-17 yr,constrained_structure_discovery,no_observation_search_discovery,59,0.0508404641367295,0.1021045624819831,0.0512640983452536,0.0378934389529625,0.0642175644058499,0.7966101694915254,reference_lower_error
5-17 yr,constrained_structure_discovery,validation_only_structure_selection,59,0.0508404641367295,0.0481674898816004,-0.002672974255129,-0.0177630656439301,0.0115373554862524,0.5932203389830508,uncertain_ci_crosses_zero
5-17 yr,constrained_structure_discovery,random_structure_discovery,59,0.0508404641367295,0.051895445968032,0.0010549818313024,-0.010596025838466,0.010939706640678,0.864406779661017,uncertain_ci_crosses_zero
18-49 yr,constrained_structure_discovery,deterministic_seir,59,0.0792313104923692,0.0740235547601703,-0.0052077557321989,-0.006342617848951,-0.0040720639341378,0.0677966101694915,challenger_lower_error
18-49 yr,constrained_structure_discovery,delayed_observation_seir,59,0.0792313104923692,0.073303239865264,-0.0059280706271051,-0.0071822759577472,-0.0047000863721478,0.0508474576271186,challenger_lower_error
18-49 yr,constrained_structure_discovery,arima_auto_small,59,0.0792313104923692,0.0305084745762711,-0.048722835916098,-0.0641208712139277,-0.0323040188816933,0.1525423728813559,challenger_lower_error
18-49 yr,constrained_structure_discovery,no_observation_search_discovery,59,0.0792313104923692,0.0792305172285741,-7.93263795062469e-07,-2.317935574541614e-06,5.736756517480737e-07,0.4915254237288136,uncertain_ci_crosses_zero
18-49 yr,constrained_structure_discovery,validation_only_structure_selection,59,0.0792313104923692,0.0399076616495734,-0.0393236488427957,-0.0565847267259514,-0.0209929649853175,0.1864406779661017,challenger_lower_error
18-49 yr,constrained_structure_discovery,random_structure_discovery,59,0.0792313104923692,0.0803357724912986,0.0011044619989294,0.0009114608045473,0.0012850016915602,0.9491525423728814,reference_lower_error
50-64 yr,constrained_structure_discovery,deterministic_seir,59,0.0546795350669055,0.0572504266785801,0.0025708916116745,-0.0037261656286499,0.012315103825122,0.5254237288135594,uncertain_ci_crosses_zero
50-64 yr,constrained_structure_discovery,delayed_observation_seir,59,0.0546795350669055,0.053341224550458,-0.0013383105164474,-0.0042199295894173,0.0016518769494005,0.5254237288135594,uncertain_ci_crosses_zero
50-64 yr,constrained_structure_discovery,arima_auto_small,59,0.0546795350669055,0.0610169491525423,0.0063374140856368,-0.0132278564241537,0.0241294513073607,0.5084745762711864,uncertain_ci_crosses_zero
50-64 yr,constrained_structure_discovery,no_observation_search_discovery,59,0.0546795350669055,0.0564398925004502,0.0017603574335446,-0.001151195976454,0.0065066601691488,0.4745762711864407,uncertain_ci_crosses_zero
50-64 yr,constrained_structure_discovery,validation_only_structure_selection,59,0.0546795350669055,0.0829837165917195,0.028304181524814,0.0117253313539253,0.044755995528819,0.7457627118644068,reference_lower_error
50-64 yr,constrained_structure_discovery,random_structure_discovery,59,0.0546795350669055,0.0546795014781145,-3.3588791016486484e-08,-1.7860416259958518e-06,1.59296112568713e-06,0.4576271186440678,uncertain_ci_crosses_zero
>= 65 yr,constrained_structure_discovery,deterministic_seir,59,0.1763203362394962,0.2230654604873736,0.0467451242478774,-0.0241407181272468,0.1214451357815936,0.4745762711864407,uncertain_ci_crosses_zero
>= 65 yr,constrained_structure_discovery,delayed_observation_seir,59,0.1763203362394962,0.223070176722581,0.0467498404830848,-0.0242603911709884,0.1178743634932291,0.4406779661016949,uncertain_ci_crosses_zero
>= 65 yr,constrained_structure_discovery,arima_auto_small,59,0.1763203362394962,0.2101694915254237,0.0338491552859274,-0.0415215204079346,0.1103428890338961,0.4745762711864407,uncertain_ci_crosses_zero
>= 65 yr,constrained_structure_discovery,no_observation_search_discovery,59,0.1763203362394962,0.2337887538879945,0.0574684176484983,-0.0167491009348853,0.1348961938352085,0.423728813559322,uncertain_ci_crosses_zero
>= 65 yr,constrained_structure_discovery,validation_only_structure_selection,59,0.1763203362394962,0.1577940935577055,-0.0185262426817906,-0.0623041063626985,0.0074551022693237,0.5423728813559322,uncertain_ci_crosses_zero
>= 65 yr,constrained_structure_discovery,random_structure_discovery,59,0.1763203362394962,0.196408021290484,0.0200876850509878,-0.0311144913460397,0.0497042205053348,0.847457627118644,uncertain_ci_crosses_zero
